element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
K,1,2721.216,,2721.214,0.005,36,4.53e+06,AA,2.6069601,3.0625810,3p6.5s,2S,1/2,3p6.5p,2P*,1/2,,T9168,L1792
K,1,,,2723.49,0.04,,2.9e+05,B+,3.3969373,3.852177,3p6.4d,2D,3/2,3p6.7p,2P*,1/2,,T817LS,
K,1,,,3115.60,0.06,,1.99e+06,C+,3.3968046,3.794751,3p6.4d,2D,5/2,3p6.5f,2F*,7/2,,T8262,
K,1,,,3115.60,0.06,,1.33e+05,C+,3.3968046,3.794751,3p6.4d,2D,5/2,3p6.5f,2F*,5/2,,T8262,
K,1,,,3116.64,0.06,,1.86e+06,C+,3.3969373,3.794751,3p6.4d,2D,3/2,3p6.5f,2F*,5/2,,T8262,
K,1,3139.263,,3139.265,0.007,33,1.50e+06,A,2.6699600,3.0649066,3p6.3d,2D,5/2,3p6.5p,2P*,3/2,,T9168,L1792
K,1,3141.539,,3141.541,0.007,7,1.66e+05,B+,2.6702462,3.0649066,3p6.3d,2D,3/2,3p6.5p,2P*,3/2,,T9168,L1792
K,1,3160.161,,3160.163,0.007,22,1.65e+06,A,2.6702462,3.0625810,3p6.3d,2D,3/2,3p6.5p,2P*,1/2,,T9168,L1792
K,1,3637.278,,3637.252,0.008,4,1.627e+06,AA,3.0625810,3.4034543,3p6.5p,2P*,1/2,3p6.6s,2S,1/2,,T9168,L1792
K,1,3662.260,,3662.237,0.008,7,4.955e+06,AAA,3.0649066,3.4034543,3p6.5p,2P*,3/2,3p6.6s,2S,1/2,,T9168,L1792
K,1,3708.147,,3708.147,0.010,3,2.885e+06,AA,3.0625810,3.3969373,3p6.5p,2P*,1/2,3p6.4d,2D,3/2,,T9168,L1792
K,1,3734.119,,3734.119,0.010,1,5.68e+05,AA,3.0649066,3.3969373,3p6.5p,2P*,3/2,3p6.4d,2D,3/2,,T9168,L1792
K,1,3735.611,,3735.611,0.010,5,3.406e+06,AA,3.0649066,3.3968046,3p6.5p,2P*,3/2,3p6.4d,2D,5/2,,T9168,L1792
K,1,4016.932,,4016.94,0.08,*,,,3.487409,3.7960626,3p6.4f,2F*,5/2,3p6.5g,2G,7/2,,,L873
K,1,4016.932,,4016.94,0.08,*,,,3.487409,3.7960626,3p6.4f,2F*,7/2,3p6.5g,2G,9/2,,,L873
K,1,,,6208.74,0.19,,7.8e+05,B+,3.3968046,3.596498,3p6.4d,2D,5/2,3p6.6p,2P*,3/2,,T817LS,
K,1,,,6212.87,0.19,,8.7e+04,B+,3.3969373,3.596498,3p6.4d,2D,3/2,3p6.6p,2P*,3/2,,T817LS,
K,1,,,6245.62,0.20,,8.3e+05,B+,3.3969373,3.595451,3p6.4d,2D,3/2,3p6.6p,2P*,1/2,,T817LS,
K,19,,,6503.5,0.3,,,,(3698.69614),(3698.88679),2p,2P*,1/2,2s,2S,1/2,,,
K,1,,,13684.1,0.9,,8.9e+04,B+,3.3968046,3.487409,3p6.4d,2D,5/2,3p6.4f,2F*,7/2,,T817,
K,1,,,13684.1,0.9,,5.9e+03,B+,3.3968046,3.487409,3p6.4d,2D,5/2,3p6.4f,2F*,5/2,,T817,
K,1,,,13704.2,0.9,,8.3e+04,B+,3.3969373,3.487409,3p6.4d,2D,3/2,3p6.4f,2F*,5/2,,T817,
