element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
Nd,2,356.075,356.07183+,410,1.05e+07,C+,0.4713792,3.9523846,4f4.(5I).6s,6I,15/2,,*,15/2,,T7685,L3475
Nd,2,356.887,356.88694+,340,1.13e+07,B+,0.6305390,4.1035943,4f4.(5I).6s,6I,17/2,,*,17/2,,T7685,L3475
Nd,2,358.751,358.74982+,470,9.6e+06,B+,0.1822698,3.6372910,4f4.(5I).6s,6I,11/2,,*,11/2,,T7685,L3475
Nd,2,359.259,359.25786+,300,6.5e+06,B+,0.0636448,3.5137803,4f4.(5I).6s,6I,9/2,,*,9/2,,T7685,L3475
Nd,2,359.802,359.80206+,340,4.9e+06,B+,0.0636448,3.5085621,4f4.(5I).6s,6I,9/2,,*,9/2,,T7685,L3475
Nd,2,360.091,360.09045+,300,5.0e+06,B+,0.3205562,3.7627146,4f4.(5I).6s,6I,13/2,,*,13/2,,T7685,L3475
Nd,2,360.979,360.97800+,320,1.02e+07,B+,0.0000000,3.4336953,4f4.(5I).6s,6I,7/2,,*,7/2,,T7685,L3475
Nd,2,361.5817,361.58120+,370,8.9e+06,B+,0.2045993,3.6325665,4f4.(5I).6s,4I,9/2,,*,9/2,,T7685,"L3260,L3475"
Nd,2,361.896,361.89675+,300,,,0.3802292,3.8052075,4f4.(5I).6s,4I,11/2,,*,11/2,,,L3475
Nd,2,363.102,363.10130+,300,,,1.5623007,4.9759173,4f3.(4I*).5d2.(3F),6M*,19/2,4f3.5d.6p,,17/2,,,L3475
Nd,2,363.430,363.43904+,340,,,0.5501873,3.9606318,4f4.(5I).5d,6L,11/2,,*,9/2,,,L3475
Nd,2,363.700,363.69806+,240*,,,1.7728866,5.1809023&dagger;,4f3.(4I*).5d2.(3F),6M*,21/2,4f3.(4I*).5d (5L*).6p,6M,21/2,,,L3475
Nd,2,363.700,363.69846+,240*,,,1.3566345,4.7646464,4f4.(5I).5d,,11/2,,*,13/2,,,L3475
Nd,2,363.723,363.72241+,240,,,1.3614135,4.7692010,4f3.(4I*).5d2.(3F),6M*,17/2,,,15/2,,,L3475
Nd,2,364.024,364.02333+,240,,,1.2465613,4.6515319,4f3.(4I*).5d (5K*).6s,6L*,11/2,4f3.5d.6p,,11/2,,,L3475
Nd,2,364.578,364.57765+,240,3.55e+06,B+,0.0636448,3.4634385,4f4.(5I).6s,6I,9/2,,*,9/2,,T7685,L3475
