element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
Br,35,,,2.106920,0.000010,,1.8426e+11,AA,(15881.2593),(16469.7212),4p,2P*,1/2,6s,2S,1/2,,T7771,
Br,35,,,2.107844,0.000014,,6.8872e+11,AA,(15881.458),(16469.6622),4s,2S,1/2,6p,2P*,1/2,,T7771,
Br,35,,,2.139168,0.000007,,4.0856e+11,AA,(15890.1304),(16469.7212),4p,2P*,3/2,6s,2S,1/2,,T7771,
Br,35,,,2.139323,0.000003,,1.6699e+11,AA,(15890.11333),(16469.6622),4d,2D,3/2,6p,2P*,1/2,,T7771,
Br,35,,,3.210818,0.000021,,1.8222e+12,AA,(15881.2593),(16267.40454),4p,2P*,1/2,5d,2D,3/2,,T7771,
Br,35,,,3.21240,0.00003,,1.0526e+12,AA,(15881.458),(16267.4131),4s,2S,1/2,5p,2P*,3/2,,T7771,
Br,35,,,3.24803,0.00003,,3.3250e+11,AA,(15881.2593),(16262.9805),4p,2P*,1/2,5s,2S,1/2,,T7771,
Br,35,,,3.25060,0.00003,,1.1423e+12,AA,(15881.458),(16262.8777),4s,2S,1/2,5p,2P*,1/2,,T7771,
Br,35,,,3.2734204,0.0000011,,3.6345e+12,AA,(15890.11333),(16268.87372),4d,2D,3/2,5f,2F*,5/2,,T7771,
Br,35,,,3.273546,0.000013,,2.2204e+12,AA,(15890.1304),(16268.87632),4p,2P*,3/2,5d,2D,5/2,,T7771,
Br,35,,,3.286093,0.000010,,2.8629e+10,AA,(15890.11333),(16267.4131),4d,2D,3/2,5p,2P*,3/2,,T7771,
Br,35,,,3.286316,0.000013,,3.7610e+11,AA,(15890.1304),(16267.40454),4p,2P*,3/2,5d,2D,3/2,,T7771,
Br,35,,,3.2920166,0.0000004,,6.1832e+12,AA,(15892.98238),(16269.603196),4f,2F*,5/2,5g,2G,7/2,,T7771,
Br,35,,,3.2920487,0.0000011,,3.8824e+12,AA,(15892.98740),(16269.60454),4d,2D,5/2,5f,2F*,7/2,,T7771,
Br,35,,,3.2983825,0.0000009,,3.6351e+09,AA,(15892.98238),(16268.87632),4f,2F*,5/2,5d,2D,5/2,,T7771,
Br,35,,,3.2984494,0.0000011,,2.5948e+11,AA,(15892.98740),(16268.87372),4d,2D,5/2,5f,2F*,5/2,,T7771,
Br,35,,,3.3006853,0.0000004,,6.3881e+12,AA,(15894.40868),(16270.040375),4f,2F*,7/2,5g,2G,9/2,,T7771,
Br,35,,,3.3045312,0.0000004,,2.2761e+11,AA,(15894.40868),(16269.603196),4f,2F*,7/2,5g,2G,7/2,,T7771,
Br,35,,,3.3109456,0.0000009,,7.4917e+10,AA,(15894.40868),(16268.87632),4f,2F*,7/2,5d,2D,5/2,,T7771,
Br,35,,,3.311317,0.000010,,2.7055e+11,AA,(15892.98740),(16267.4131),4d,2D,5/2,5p,2P*,3/2,,T7771,
Br,35,,,3.3113478,0.0000009,,8.1480e+10,AA,(15892.98238),(16267.40454),4f,2F*,5/2,5d,2D,3/2,,T7771,
Br,35,,,3.32531,0.00003,,7.4477e+11,AA,(15890.1304),(16262.9805),4p,2P*,3/2,5s,2S,1/2,,T7771,
Br,35,,,3.326074,0.000011,,3.3617e+11,AA,(15890.11333),(16262.8777),4d,2D,3/2,5p,2P*,1/2,,T7771,
Br,35,,,5.99411,0.00005,,1.3767e+11,AA,(16262.8777),(16469.7212),5p,2P*,1/2,6s,2S,1/2,,T7771,
Br,35,,,5.99880,0.00008,,3.7462e+11,AA,(16262.9805),(16469.6622),5s,2S,1/2,6p,2P*,1/2,,T7771,
Br,35,,,6.0797043,0.0000003,,2.4704e+12,AA,(16270.040375),(16473.9716715),5g,2G,9/2,6h,2H*,11/2,,T7771,
Br,35,,,6.12848,0.00005,,3.0725e+11,AA,(16267.4131),(16469.7212),5p,2P*,3/2,6s,2S,1/2,,T7771,
Br,35,,,6.13001,0.00003,,1.6877e+11,AA,(16267.40454),(16469.6622),5d,2D,3/2,6p,2P*,1/2,,T7771,
Br,33,9.80809,0.00013,9.80809,0.00013,j,,,0.0000,[126.4101],1s2.2s,2S,1/2,1s2.2p,2P*,3/2,,,u57
Br,35,,,17.85907,0.00006,,2.5562e+09,AA,(12683.9903),(12753.4140),2s,2S,1/2,2p,2P*,3/2,,T7771,
Br,33,18.00306,0.00049,18.0031,0.0005,j,,,0.0000,[68.8684],1s2.2s,2S,1/2,1s2.2p,2P*,1/2,,,u57
Br,4,36.6636,,36.6633+,,100,,,0.32509,34.1420,4s2.4p2,3P,1,,2,"1,2",,,L1157
Br,4,37.0694,,37.0697+,,200,,,0.69579,34.1420,4s2.4p2,3P,2,,2,"1,2",,,L1157
Br,4,37.9734,,37.9739+,,700,,,0.32509,32.9750,4s2.4p2,3P,1,,1,2,,,L1157
Br,4,38.4101,,38.4100+,,600,,,0.69579,32.9750,4s2.4p2,3P,2,,1,2,,,L1157
Br,4,40.0370,,40.0367+,,700,,,2.00735,32.9750,4s2.4p2,1D,2,,1,2,,,L1157
Br,5,46.837,,,,600,,,,,,,,,,,,,L930
Br,5,48.211,,,,800,,,,,,,,,,,,,L930
Br,5,53.197,,,,900,,,,,,,,,,,,,L930
Br,4,53.4457,,53.4469+,,350,,,0.00000,23.19764,4s2.4p2,3P,0,4s2.4p.5s,1P,1,,,L1157
Br,4,54.2055,,54.2065+,,800,,,0.32509,23.19764,4s2.4p2,3P,1,4s2.4p.5s,1P,1,,,L1157
Br,4,54.5429,,54.5439+,,1000,,,0.32509,23.05619,4s2.4p2,3P,1,4s2.4p.5s,3P,2,,,L1157
Br,5,54.790,,,,1000,,,,,,,,,,,,,L930
Br,5,54.977,,,,700,,,,,,,,,,,,,L930
Br,4,54.9940,,54.9934+,,800,,,0.00000,22.54529,4s2.4p2,3P,0,4s2.4p.5s,3P,1,,,L1157
Br,4,55.4481,,55.4481+,,900,,,0.69579,23.05619,4s2.4p2,3P,2,4s2.4p.5s,3P,2,,,L1157
Br,4,55.5727,,55.5711+,,700,,,0.00000,22.31092,4s2.4p2,3P,0,4s2.4p.4d,3P,1,,,L1157
Br,4,55.5934,,55.5922+,,600,,,0.32509,22.62753,4s2.4p2,3P,1,4s2.4p.4d,1D,2,,,L1157
Br,4,55.7984,,55.7980+,,900,,,0.32509,22.54529,4s2.4p2,3P,1,4s2.4p.5s,3P,1,,,L1157
Br,4,55.9756,,55.9762+,,1000,,,0.32509,22.47452,4s2.4p2,3P,1,4s2.4p.4d,1P,1,,,L1157
Br,4,56.3788,,56.3788+,,900,,,0.32509,22.31636,4s2.4p2,3P,1,4s2.4p.5s,3P,0,,,L1157
Br,4,56.3937,,56.3928+,,800,,,0.32509,22.31092,4s2.4p2,3P,1,4s2.4p.4d,3P,1,,,L1157
Br,4,56.5314,,56.5319+,,900,,,0.69579,22.62753,4s2.4p2,3P,2,4s2.4p.4d,1D,2,,,L1157
Br,4,56.7443,,56.7446+,,800,,,0.69579,22.54529,4s2.4p2,3P,2,4s2.4p.5s,3P,1,,,L1157
Br,4,56.9194,,56.9201+,,1000,,,0.32509,22.10725,4s2.4p2,3P,1,4s2.4p.4d,3P,0,,,L1157
Br,4,56.9291,,56.9290+,,800,,,0.69579,22.47452,4s2.4p2,3P,2,4s2.4p.4d,1P,1,,,L1157
Br,4,57.3600,,57.3599+,,900,,,0.69579,22.31092,4s2.4p2,3P,2,4s2.4p.4d,3P,1,,,L1157
Br,4,57.6589,,57.6592+,,1000,,,0.32509,21.82803,4s2.4p2,3P,1,4s2.4p.4d,3P,2,,,L1157
Br,4,57.9953,,57.9948+,,250,,,0.69579,22.07431,4s2.4p2,3P,2,4s2.4p.4d,1F,3,,,L1157
Br,4,58.5102,,58.5099+,,1000,,,2.00735,23.19764,4s2.4p2,1D,2,4s2.4p.5s,1P,1,,,L1157
Br,4,58.6710,,58.6706+,,1000,,,0.69579,21.82803,4s2.4p2,3P,2,4s2.4p.4d,3P,2,,,L1157
Br,4,58.9043,,58.9031+,,50,,,2.00735,23.05619,4s2.4p2,1D,2,4s2.4p.5s,3P,2,,,L1157
Br,4,59.7514,,59.7526+,,1000,,,0.00000,20.74957,4s2.4p2,3P,0,4s2.4p.4d,3D,1,,,L1157
Br,4,59.9594,,59.9587+,,250,,,0.32509,21.00336,4s2.4p2,3P,1,4s2.4p.4d,3D,2,,,L1157
Br,4,60.0085,,60.0085+,,1000,,,0.69579,21.35689,4s2.4p2,3P,2,4s2.4p.4d,3D,3,,,L1157
Br,4,60.1265,,60.1276+,,1000,,,2.00735,22.62753,4s2.4p2,1D,2,4s2.4p.4d,1D,2,,,L1157
Br,4,60.3674,,60.3684+,,900,,,2.00735,22.54529,4s2.4p2,1D,2,4s2.4p.5s,3P,1,,,L1157
Br,4,60.5778,,60.5771+,,900,,,2.00735,22.47452,4s2.4p2,1D,2,4s2.4p.4d,1P,1,,,L1157
Br,4,60.7031,,60.7037+,,1000,,,0.32509,20.74957,4s2.4p2,3P,1,4s2.4p.4d,3D,1,,,L1157
Br,4,61.0540,,61.0532+,,500,,,0.69579,21.00336,4s2.4p2,3P,2,4s2.4p.4d,3D,2,,,L1157
Br,4,61.0640,,61.0652+,,400,,,2.00735,22.31092,4s2.4p2,1D,2,4s2.4p.4d,3P,1,,,L1157
Br,3,61.11,,,,450,,,,,,,,,,,,,L7483
Br,4,61.7851,,61.7853+,,1000,,,2.00735,22.07431,4s2.4p2,1D,2,4s2.4p.4d,1F,3,,,L1157
Br,4,61.8261,,61.8258+,,900,,,0.69579,20.74957,4s2.4p2,3P,2,4s2.4p.4d,3D,1,,,L1157
Br,4,61.9871,,61.9890+,,1000,,,0.00000,20.00101,4s2.4p2,3P,0,4s.4p3,3S,1,,,L1157
Br,3,62.04,,,,300,,,,,,,,,,,,,L7483
Br,5,62.103,,,,800,,,,,,,,,,,,,L930
Br,4,62.3234,,62.3202+,,700?,,,0.32509,20.21978,4s2.4p2,3P,1,4s2.4p.4d,3F,2,,,L1157
Br,4,62.5528,,62.5530+,,750,,,2.00735,21.82803,4s2.4p2,1D,2,4s2.4p.4d,3P,2,,,L1157
Br,4,63.0135,,63.0132+,,1000,,,0.32509,20.00101,4s2.4p2,3P,1,4s.4p3,3S,1,,,L1157
Br,5,63.222,,,,800,,,,,,,,,,,,,L930
Br,4,63.5035,,63.5035+,,700,,,0.69579,20.21978,4s2.4p2,3P,2,4s2.4p.4d,3F,2,,,L1157
Br,4,63.7437,,63.7438+,,900,,,0.69579,20.14619,4s2.4p2,3P,2,4s.4p3,1P,1,,,L1157
Br,4,64.2227,,64.2231+,,1000,,,0.69579,20.00101,4s2.4p2,3P,2,4s.4p3,3S,1,,,L1157
